省,省code,市,市code,区县,区县code,废品回收,再生资源回收,旧货回收,回收站,总计
内蒙古自治区,150000,包头市,150200,昆都仑区,150203,31,31,122,110,127
内蒙古自治区,150000,呼和浩特市,150100,赛罕区,150105,33,33,114,108,120
内蒙古自治区,150000,鄂尔多斯市,150600,东胜区,150602,29,29,75,78,79
内蒙古自治区,150000,包头市,150200,青山区,150204,34,35,73,76,78
内蒙古自治区,150000,呼和浩特市,150100,新城区,150102,18,18,73,72,73
内蒙古自治区,150000,包头市,150200,九原区,150207,49,49,67,68,68
内蒙古自治区,150000,通辽市,150500,科尔沁区,150502,31,30,63,63,64
内蒙古自治区,150000,呼和浩特市,150100,玉泉区,150104,14,15,53,53,55
内蒙古自治区,150000,乌兰察布市,150900,集宁区,150902,38,38,52,53,54
内蒙古自治区,150000,呼和浩特市,150100,回民区,150103,14,15,52,50,52
内蒙古自治区,150000,巴彦淖尔市,150800,临河区,150802,31,31,40,39,42
内蒙古自治区,150000,包头市,150200,东河区,150202,21,21,41,40,41
内蒙古自治区,150000,锡林郭勒盟,152500,锡林浩特市,152502,16,16,37,36,38
内蒙古自治区,150000,鄂尔多斯市,150600,伊金霍洛旗,150627,28,29,33,33,35
内蒙古自治区,150000,乌兰察布市,150900,察哈尔右翼前旗,150926,33,33,31,32,33
内蒙古自治区,150000,赤峰市,150400,红山区,150402,6,7,29,28,31
内蒙古自治区,150000,呼和浩特市,150100,土默特左旗,150121,26,26,28,28,28
内蒙古自治区,150000,乌海市,150300,海勃湾区,150302,12,14,25,24,27
内蒙古自治区,150000,鄂尔多斯市,150600,准格尔旗,150622,22,21,26,26,27
内蒙古自治区,150000,赤峰市,150400,松山区,150404,6,6,23,23,24
内蒙古自治区,150000,通辽市,150500,开鲁县,150523,8,8,23,23,24
内蒙古自治区,150000,呼伦贝尔市,150700,海拉尔区,150702,10,11,20,21,23
内蒙古自治区,150000,呼和浩特市,150100,和林格尔县,150123,19,19,23,22,23
内蒙古自治区,150000,呼伦贝尔市,150700,牙克石市,150782,11,11,21,21,21
内蒙古自治区,150000,兴安盟,152200,乌兰浩特市,152201,5,6,20,20,21
内蒙古自治区,150000,兴安盟,152200,科尔沁右翼前旗,152221,11,11,18,19,20
内蒙古自治区,150000,赤峰市,150400,敖汉旗,150430,8,8,18,18,20
内蒙古自治区,150000,兴安盟,152200,扎赉特旗,152223,7,8,18,18,19
内蒙古自治区,150000,阿拉善盟,152900,阿拉善左旗,152921,13,13,19,18,19
内蒙古自治区,150000,呼伦贝尔市,150700,阿荣旗,150721,10,11,17,17,18
内蒙古自治区,150000,鄂尔多斯市,150600,达拉特旗,150621,15,15,18,18,18
内蒙古自治区,150000,鄂尔多斯市,150600,鄂托克旗,150624,13,13,18,18,18
内蒙古自治区,150000,通辽市,150500,奈曼旗,150525,12,12,18,18,18
内蒙古自治区,150000,鄂尔多斯市,150600,乌审旗,150626,8,10,14,15,17
内蒙古自治区,150000,赤峰市,150400,元宝山区,150403,10,11,15,15,16
内蒙古自治区,150000,巴彦淖尔市,150800,杭锦后旗,150826,8,9,14,14,15
内蒙古自治区,150000,兴安盟,152200,突泉县,152224,7,7,15,15,15
内蒙古自治区,150000,乌海市,150300,乌达区,150304,11,11,14,14,14
内蒙古自治区,150000,呼伦贝尔市,150700,满洲里市,150781,8,8,14,14,14
内蒙古自治区,150000,呼伦贝尔市,150700,鄂伦春自治旗,150723,10,10,14,14,14
内蒙古自治区,150000,呼伦贝尔市,150700,鄂温克族自治旗,150724,12,12,13,13,13
内蒙古自治区,150000,赤峰市,150400,巴林左旗,150422,5,6,12,12,13
内蒙古自治区,150000,通辽市,150500,科尔沁左翼后旗,150522,8,9,11,11,13
内蒙古自治区,150000,巴彦淖尔市,150800,乌拉特前旗,150823,8,8,11,11,12
内蒙古自治区,150000,包头市,150200,土默特右旗,150221,8,8,12,11,12
内蒙古自治区,150000,兴安盟,152200,科尔沁右翼中旗,152222,5,5,12,12,12
内蒙古自治区,150000,赤峰市,150400,翁牛特旗,150426,7,7,12,12,12
内蒙古自治区,150000,呼伦贝尔市,150700,扎兰屯市,150783,4,4,11,11,11
内蒙古自治区,150000,锡林郭勒盟,152500,多伦县,152531,7,7,11,11,11
内蒙古自治区,150000,乌兰察布市,150900,丰镇市,150981,6,6,10,11,11
内蒙古自治区,150000,鄂尔多斯市,150600,杭锦旗,150625,10,10,11,11,11
内蒙古自治区,150000,通辽市,150500,扎鲁特旗,150526,6,6,11,11,11
内蒙古自治区,150000,呼伦贝尔市,150700,莫力达瓦达斡尔族自治旗,150722,8,8,10,10,10
内蒙古自治区,150000,通辽市,150500,霍林郭勒市,150581,3,4,10,10,10
内蒙古自治区,150000,乌海市,150300,海南区,150303,6,6,9,9,9
内蒙古自治区,150000,巴彦淖尔市,150800,五原县,150821,4,4,9,9,9
内蒙古自治区,150000,乌兰察布市,150900,商都县,150923,6,6,9,9,9
内蒙古自治区,150000,乌兰察布市,150900,兴和县,150924,5,4,8,8,9
内蒙古自治区,150000,呼和浩特市,150100,托克托县,150122,6,6,7,7,9
内蒙古自治区,150000,赤峰市,150400,宁城县,150429,4,4,8,8,9
内蒙古自治区,150000,包头市,150200,固阳县,150222,6,5,8,8,8
内蒙古自治区,150000,锡林郭勒盟,152500,东乌珠穆沁旗,152525,5,5,8,7,8
内蒙古自治区,150000,呼和浩特市,150100,武川县,150125,4,5,8,8,8
内蒙古自治区,150000,赤峰市,150400,林西县,150424,2,3,8,7,8
内蒙古自治区,150000,锡林郭勒盟,152500,西乌珠穆沁旗,152526,5,5,7,7,7
内蒙古自治区,150000,乌兰察布市,150900,四子王旗,150929,3,3,7,7,7
内蒙古自治区,150000,阿拉善盟,152900,额济纳旗,152923,7,7,7,7,7
内蒙古自治区,150000,鄂尔多斯市,150600,康巴什区,150603,2,3,6,6,7
内蒙古自治区,150000,赤峰市,150400,喀喇沁旗,150428,3,3,7,6,7
内蒙古自治区,150000,赤峰市,150400,巴林右旗,150423,1,1,7,7,7
内蒙古自治区,150000,通辽市,150500,科尔沁左翼中旗,150521,5,5,7,7,7
内蒙古自治区,150000,巴彦淖尔市,150800,磴口县,150822,4,4,6,5,6
内蒙古自治区,150000,包头市,150200,石拐区,150205,5,5,6,6,6
内蒙古自治区,150000,锡林郭勒盟,152500,太仆寺旗,152527,4,4,4,6,6
内蒙古自治区,150000,乌兰察布市,150900,卓资县,150921,6,6,6,6,6
内蒙古自治区,150000,巴彦淖尔市,150800,乌拉特中旗,150824,3,4,4,4,5
内蒙古自治区,150000,呼伦贝尔市,150700,扎赉诺尔区,150703,4,4,5,5,5
内蒙古自治区,150000,鄂尔多斯市,150600,鄂托克前旗,150623,2,2,5,5,5
内蒙古自治区,150000,赤峰市,150400,克什克腾旗,150425,4,4,5,5,5
内蒙古自治区,150000,赤峰市,150400,阿鲁科尔沁旗,150421,3,3,5,5,5
内蒙古自治区,150000,通辽市,150500,库伦旗,150524,1,1,5,4,5
内蒙古自治区,150000,巴彦淖尔市,150800,乌拉特后旗,150825,3,3,4,4,4
内蒙古自治区,150000,呼伦贝尔市,150700,新巴尔虎右旗,150727,3,3,4,3,4
内蒙古自治区,150000,呼伦贝尔市,150700,额尔古纳市,150784,3,3,4,4,4
